round,size,time
73,4,0:00:00.000021
73,3,0:00:00.000010
73,2,0:00:00.000005
74,20,0:00:08.038907
74,15,0:00:00.108374
74,10,0:00:00.002178
74,9,0:00:00.000992
74,8,0:00:00.000459
74,7,0:00:00.000197
74,6,0:00:00.000091
74,5,0:00:00.000040
74,4,0:00:00.000018
74,3,0:00:00.000009
74,2,0:00:00.000005
75,20,0:00:07.082594
75,15,0:00:00.117915
75,10,0:00:00.002521
75,9,0:00:00.001116
75,8,0:00:00.000518
75,7,0:00:00.000221
75,6,0:00:00.000101
75,5,0:00:00.000046
75,4,0:00:00.000021
75,3,0:00:00.000010
75,2,0:00:00.000005
76,20,0:00:08.078517
76,15,0:00:00.134312
76,10,0:00:00.003067
76,9,0:00:00.001277
76,8,0:00:00.000588
76,7,0:00:00.000257
76,6,0:00:00.000122
76,5,0:00:00.000052
76,4,0:00:00.000024
76,3,0:00:00.000011
76,2,0:00:00.000006
77,20,0:00:08.230090
77,15,0:00:00.142051
77,10,0:00:00.002983
77,9,0:00:00.001319
77,8,0:00:00.000615
77,7,0:00:00.000262
77,6,0:00:00.000119
77,5,0:00:00.000054
77,4,0:00:00.000025
77,3,0:00:00.000012
77,2,0:00:00.000006
78,20,0:00:07.826858
78,15,0:00:00.134334
78,10,0:00:00.002974
78,9,0:00:00.001276
78,8,0:00:00.000592
78,7,0:00:00.000252
78,6,0:00:00.000115
78,5,0:00:00.000052
78,4,0:00:00.000024
78,3,0:00:00.000011
78,2,0:00:00.000006
79,20,0:00:08.015463
79,15,0:00:00.135487
79,10,0:00:00.002779
79,9,0:00:00.001283
79,8,0:00:00.000574
79,7,0:00:00.000244
79,6,0:00:00.000111
79,5,0:00:00.000050
79,4,0:00:00.000023
79,3,0:00:00.000011
79,2,0:00:00.000006
80,20,0:00:07.435866
80,15,0:00:00.103532
80,10,0:00:00.002071
80,9,0:00:00.000939
80,8,0:00:00.000437
80,7,0:00:00.000186
80,6,0:00:00.000085
80,5,0:00:00.000039
80,4,0:00:00.000018
80,3,0:00:00.000009
80,2,0:00:00.000004
81,20,0:00:06.873689
81,15,0:00:00.108151
81,10,0:00:00.002134
81,9,0:00:00.000941
81,8,0:00:00.000463
81,7,0:00:00.000191
81,6,0:00:00.000087
81,5,0:00:00.000039
81,4,0:00:00.000018
81,3,0:00:00.000009
81,2,0:00:00.000005
82,20,0:00:06.695197
82,15,0:00:00.107611
82,10,0:00:00.002271
82,9,0:00:00.000995
82,8,0:00:00.000458
82,7,0:00:00.000196
82,6,0:00:00.000090
82,5,0:00:00.000040
82,4,0:00:00.000019
82,3,0:00:00.000009
82,2,0:00:00.000005
83,20,0:00:07.253454
83,15,0:00:00.108830
83,10,0:00:00.002289
83,9,0:00:00.000989
83,8,0:00:00.000459
83,7,0:00:00.000196
83,6,0:00:00.000089
